"priority","familyId","familyLabel","fileName","destination","view","prompt"
"11","brake-pad","Plaquettes de frein","generic-02.webp",".\public\media\parts\brake-pad\generic-02.webp","Vue de profil","Photo catalogue photoréaliste d’un(e) Plaquettes de frein, Vue de profil, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"12","brake-pad","Plaquettes de frein","generic-03.webp",".\public\media\parts\brake-pad\generic-03.webp","Surface de friction","Photo catalogue photoréaliste d’un(e) Plaquettes de frein, Surface de friction, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"13","shock-absorber","Amortisseur","generic-01.webp",".\public\media\parts\shock-absorber\generic-01.webp","Vue complète","Photo catalogue photoréaliste d’un(e) Amortisseur, Vue complète, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"14","shock-absorber","Amortisseur","generic-02.webp",".\public\media\parts\shock-absorber\generic-02.webp","Fixation supérieure","Photo catalogue photoréaliste d’un(e) Amortisseur, Fixation supérieure, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"15","shock-absorber","Amortisseur","generic-03.webp",".\public\media\parts\shock-absorber\generic-03.webp","Fixation inférieure","Photo catalogue photoréaliste d’un(e) Amortisseur, Fixation inférieure, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"16","control-arm","Triangle de suspension","generic-01.webp",".\public\media\parts\control-arm\generic-01.webp","Vue 3/4","Photo catalogue photoréaliste d’un(e) Triangle de suspension, Vue 3/4, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"17","control-arm","Triangle de suspension","generic-02.webp",".\public\media\parts\control-arm\generic-02.webp","Rotule","Photo catalogue photoréaliste d’un(e) Triangle de suspension, Rotule, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"18","control-arm","Triangle de suspension","generic-03.webp",".\public\media\parts\control-arm\generic-03.webp","Silentblocs","Photo catalogue photoréaliste d’un(e) Triangle de suspension, Silentblocs, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"19","wheel-bearing","Roulement de roue","generic-01.webp",".\public\media\parts\wheel-bearing\generic-01.webp","Vue 3/4","Photo catalogue photoréaliste d’un(e) Roulement de roue, Vue 3/4, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"20","wheel-bearing","Roulement de roue","generic-02.webp",".\public\media\parts\wheel-bearing\generic-02.webp","Vue de face","Photo catalogue photoréaliste d’un(e) Roulement de roue, Vue de face, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"21","wheel-bearing","Roulement de roue","generic-03.webp",".\public\media\parts\wheel-bearing\generic-03.webp","Fixations et capteur","Photo catalogue photoréaliste d’un(e) Roulement de roue, Fixations et capteur, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"22","oil-filter","Filtre à huile","generic-01.webp",".\public\media\parts\oil-filter\generic-01.webp","Vue 3/4","Photo catalogue photoréaliste d’un(e) Filtre à huile, Vue 3/4, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"23","oil-filter","Filtre à huile","generic-02.webp",".\public\media\parts\oil-filter\generic-02.webp","Filetage","Photo catalogue photoréaliste d’un(e) Filtre à huile, Filetage, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"24","oil-filter","Filtre à huile","generic-03.webp",".\public\media\parts\oil-filter\generic-03.webp","Joint","Photo catalogue photoréaliste d’un(e) Filtre à huile, Joint, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"25","air-filter","Filtre à air","generic-01.webp",".\public\media\parts\air-filter\generic-01.webp","Vue complète","Photo catalogue photoréaliste d’un(e) Filtre à air, Vue complète, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"26","air-filter","Filtre à air","generic-02.webp",".\public\media\parts\air-filter\generic-02.webp","Plis filtrants","Photo catalogue photoréaliste d’un(e) Filtre à air, Plis filtrants, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"27","air-filter","Filtre à air","generic-03.webp",".\public\media\parts\air-filter\generic-03.webp","Vue de profil","Photo catalogue photoréaliste d’un(e) Filtre à air, Vue de profil, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"28","spark-plug","Bougie d’allumage","generic-01.webp",".\public\media\parts\spark-plug\generic-01.webp","Vue complète","Photo catalogue photoréaliste d’un(e) Bougie d’allumage, Vue complète, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"29","spark-plug","Bougie d’allumage","generic-02.webp",".\public\media\parts\spark-plug\generic-02.webp","Électrode","Photo catalogue photoréaliste d’un(e) Bougie d’allumage, Électrode, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"30","spark-plug","Bougie d’allumage","generic-03.webp",".\public\media\parts\spark-plug\generic-03.webp","Filetage","Photo catalogue photoréaliste d’un(e) Bougie d’allumage, Filetage, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
